src_id,station_name,station_file_name,historic_county,authority,station_latitude,station_longitude,station_elevation,first_year,last_year
00001,FOULA,foula,shetland,Met Office,60.154,-2.074,22,1989,2003
00002,FOULA NO 2,foula-no-2,shetland,Met Office,60.11,-2.065,22,1985,2016
00003,FAIR ISLE,fair-isle,shetland,Met Office,59.526,-1.63,57,1974,2023
00004,SUMBURGH,sumburgh,shetland,Met Office,59.879,-1.299,7,1979,1996
00005,HAMNAVOE,hamnavoe,shetland,Met Office,60.104,-1.333,21,1972,1972
00006,SCATSTA,scatsta,shetland,Met Office,60.439,-1.308,15,1974,1979
00007,COLLAFIRTH,collafirth,shetland,Met Office,60.533,-1.391,228,1983,1991
00009,LERWICK,lerwick,shetland,Met Office,60.139,-1.185,82,1921,2023
00010,SELLA NESS,sella-ness,shetland,Met Office,60.447,-1.278,7,1993,2019
00011,MUCKLE HOLM,muckle-holm,shetland,Met Office,60.581,-1.266,20,1993,2004
00012,BALTASOUND NO 2,baltasound-no-2,shetland,Met Office,60.748,-0.856,15,1989,2023
00013,BALTASOUND,baltasound,shetland,Met Office,60.759,-0.888,24,1914,1995
00014,MUCKLE FLUGGA,muckle-flugga,shetland,Met Office,60.856,-0.886,53,1988,1995
00016,NORTH RONA ISLAND,north-rona-island,orkney,Met Office,59.124,-5.827,98,1990,2009
00017,SULE SKERRY,sule-skerry,orkney,Met Office,59.082,-4.405,12,1968,2019
00019,RACKWICK,rackwick,orkney,Met Office,58.873,-3.387,18,1989,2008
00020,STENNESS,stenness,orkney,Met Office,58.982,-3.223,23,1972,1975
00023,KIRKWALL,kirkwall,orkney,Met Office,58.953,-2.901,26,1957,2023
00024,WEYLAND,weyland,orkney,Met Office,58.986,-2.948,24,1977,1979
00025,"NORTH RONALDSAY, GERBO",north-ronaldsay-gerbo,orkney,Met Office,59.361,-2.415,11,1987,1998
00026,DOUNREAY,dounreay,caithness,Met Office,58.579,-3.739,21,1972,1983
00028,"BERRIEDALE, LANGWELL",berriedale-langwell,caithness,Met Office,58.18,-3.53,67,1981,1986
00030,SCRABSTER HARBOUR,scrabster-harbour,caithness,Met Office,58.612,-3.547,10,1994,2001
00031,LYBSTER,lybster,caithness,Met Office,58.311,-3.285,85,1993,2003
00032,WICK AIRPORT,wick-airport,caithness,Met Office,58.454,-3.09,36,1968,2023
00033,KEISS,keiss,caithness,Met Office,58.542,-3.11,30,1972,1985
00034,JOHN O GROATS,john-o-groats,caithness,Met Office,58.635,-3.064,30,1972,1972
00035,GEISGEIL,geisgeil,sutherland,Met Office,58.319,-5.126,12,1977,1980
00036,DUARTMORE BRIDGE,duartmore-bridge,sutherland,Met Office,58.289,-5.072,30,1980,2004
00037,CAPE WRATH,cape-wrath,sutherland,Met Office,58.625,-5.0,112,1957,1997
00038,ACHFARY,achfary,sutherland,Met Office,58.311,-4.916,46,2006,2023
00039,ACHANY NO 2,achany-no-2,sutherland,Met Office,57.981,-4.427,107,1977,1982
00040,CASSLEY,cassley,sutherland,Met Office,58.168,-4.727,99,1974,2023
00043,LAIRG NO 2,lairg-no-2,sutherland,Met Office,58.019,-4.407,91,1972,2000
00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,Met Office,58.288,-4.442,81,1993,2023
00046,STRATHY 1,strathy-1,sutherland,Met Office,58.52,-4.01,38,1972,1976
00047,STRATHY POINT,strathy-point,caithness,Met Office,58.598,-4.018,32,1985,1997
00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,Met Office,58.23,-3.922,103,1979,2023
00050,STRATHY EAST,strathy-east,sutherland,Met Office,58.561,-3.992,68,1993,2023
00051,KNEEP,kneep,western-isles,Met Office,58.222,-6.948,5,1983,1987
00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,Met Office,57.859,-5.633,11,1986,2023
00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,Met Office,58.213,-6.319,15,1957,2023
00055,BUTT OF LEWIS,butt-of-lewis,western-isles,Met Office,58.516,-6.262,16,1987,1998
00056,BALMACARA HOUSE,balmacara-house,ross-and-cromarty,Met Office,57.286,-5.652,4,1972,1978
00058,DIABAIG,diabaig,ross-and-cromarty,Met Office,57.579,-5.692,60,1982,2010
00060,POOLEWE,poolewe,ross-and-cromarty,Met Office,57.775,-5.598,6,1972,2023
00061,RUDH RE,rudh-re,ross-and-cromarty,Met Office,57.858,-5.813,16,1968,1977
00062,"ACHNASHELLACH, LAIR",achnashellach-lair,ross-and-cromarty,Met Office,57.484,-5.32,40,1982,1984
00063,INVERPOLLY,inverpolly,ross-and-cromarty,Met Office,58.068,-5.267,14,1972,1997
00064,PLOCKTON,plockton,ross-and-cromarty,Met Office,57.337,-5.653,12,1979,2019
00065,ACHNASHELLACH,achnashellach,ross-and-cromarty,Met Office,57.49,-5.275,67,1926,1982
00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,Met Office,57.613,-5.306,25,1953,2023
00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,Met Office,57.725,-4.895,269,1992,2023
00068,KNOCKANROCK,knockanrock,ross-and-cromarty,Met Office,58.031,-5.072,244,1972,1998
00069,CLUANIE INN,cluanie-inn,ross-and-cromarty,Met Office,57.156,-5.181,223,1994,1995
00070,STRATHCONON,strathconon,ross-and-cromarty,Met Office,57.555,-4.794,107,1972,1981
00071,CRAIGDARROCH,craigdarroch,ross-and-cromarty,Met Office,57.578,-4.607,38,1973,1979
00072,CONTIN,contin,ross-and-cromarty,Met Office,57.575,-4.587,29,1972,1976
00074,DINGWALL,dingwall,ross-and-cromarty,Met Office,57.6,-4.447,7,1983,2006
00075,CRANNICH,crannich,ross-and-cromarty,Met Office,57.752,-4.272,197,1985,1988
00076,FORTROSE,fortrose,ross-and-cromarty,Met Office,57.574,-4.093,5,1926,1994
00077,INVERGORDON HARBOUR,invergordon-harbour,ross-and-cromarty,Met Office,57.687,-4.167,3,1985,2001
00078,INVERGORDON,invergordon,ross-and-cromarty,Met Office,57.703,-4.158,15,1979,1982
00079,TAIN RANGE,tain-range,ross-and-cromarty,Met Office,57.819,-3.967,4,1989,2023
00080,TARBATNESS,tarbatness,ross-and-cromarty,Met Office,57.865,-3.776,18,1968,1988
00081,ST KILDA,st-kilda,western-isles,Met Office,57.811,-8.564,30,1982,1990
00082,BARRA (W I),barra-w-i,western-isles,Met Office,57.025,-7.449,3,1987,2007
00083,LOCHBOISDALE,lochboisdale,western-isles,Met Office,57.155,-7.316,6,1986,2003
00084,BENBECULA AIRPORT,benbecula-airport,western-isles,Met Office,57.475,-7.371,6,1957,1996
00085,SCALPAY,scalpay,western-isles,Met Office,57.872,-6.699,18,1979,1994
00086,NEIST POINT,neist-point,inverness-shire,Met Office,57.423,-6.788,21,1983,1989
00087,WATERSTEIN,waterstein,inverness-shire,Met Office,57.436,-6.769,83,1990,2004
00088,HYSKEIR,hyskeir,inverness-shire,Met Office,56.969,-6.681,10,1986,1995
00089,RHUM: KINLOCH,rhum-kinloch,inverness-shire,Met Office,57.014,-6.282,5,1972,2010
00090,SKYE: PRABOST,skye-prabost,inverness-shire,Met Office,57.467,-6.305,67,1982,1986
00091,DUNTULM,duntulm,inverness-shire,Met Office,57.661,-6.363,90,1972,1973
00092,INVERAILORT,inverailort,inverness-shire,Met Office,56.872,-5.67,2,1982,2015
00093,HEASTE,heaste,inverness-shire,Met Office,57.189,-5.894,100,1974,1984
00094,BROADFORD:ISLE OF SKYE,broadford-isle-of-skye,inverness-shire,Met Office,57.239,-5.895,8,1988,1991
00095,EILANREACH,eilanreach,inverness-shire,Met Office,57.199,-5.63,8,1982,2004
00096,ONICH,onich,inverness-shire,Met Office,56.72,-5.224,15,1926,1995
00097,FORT WILLIAM NO 4,fort-william-no-4,inverness-shire,Met Office,56.829,-5.076,20,1984,1993
00101,CORPACH,corpach,inverness-shire,Met Office,56.839,-5.149,8,1972,1980
00102,KILTARLITY,kiltarlity,inverness-shire,Met Office,57.427,-4.497,75,1985,2011
00103,AONACH MOR,aonach-mor,inverness-shire,Met Office,56.822,-4.969,1130,1992,2023
00104,LOCH OICH,loch-oich,inverness-shire,Met Office,57.044,-4.799,37,1974,1976
00105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,Met Office,56.867,-4.708,249,1989,2023
00107,FORT AUGUSTUS,fort-augustus,inverness-shire,Met Office,57.144,-4.677,21,1914,1997
00108,FOYERS NO 4,foyers-no-4,inverness-shire,Met Office,57.261,-4.484,21,1989,2003
00110,LENTRAN,lentran,inverness-shire,Met Office,57.459,-4.373,146,1975,2023
00111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,Met Office,56.94,-4.238,351,1973,2023
